Localidad;Codigo postal;Direccion;Longitud;Latitud;Precio gasolina 95 E5;Precio gasolina 95 E10;Precio gasoleo A;Precio gasoleo B;Precio gasoleo de uso maritimo;Rotulo;Tipo venta;Rem.;Horario
CASTRO URDIALES;39700;MUELLE EQUILION S/N;-3,221;43,382444;1,714;;1,714;772;;REPSOL;Mixto;OM;L-V: 09:00-13:00
COLINDRES;39750;MUELLE PESQUERO, S/N ;-3,463033;43,393903;1,714;;1,714;772;;REPSOL;Suministro a pesqueros;OM;L-D: 24H
LAREDO;39770;NUEVO PUERTO DE LAREDO, S/N ;-3,415444;43,418778;1,714;;1,714;772;;REPSOL;Mixto;OM;L-S: 09:00-13:00 y 14:00-18:00
PEDRENA;39130;BARRIO LA BARQUERIA 151-ES;-3,766472;43,447167;1,845;;1,849;;;REPSOL;Suministro a barcos deportivos o de recreo;dm;L-D: 06:00-21:30
SAN VICENTE DE LA BARQUERA;39540;AVDA. ANTONIO GARELY, S/N ;-4,397755;43,385014;;;1,714;772;;REPSOL;Suministro a pesqueros;OM;L-D: 24H
SANTANDER;39009;PUERTO PSQUERO;-3,821333;43,449222;;;;772;;REPSOL;Suministro a pesqueros;OM;L-J: 09:00-13:00 y 14:00-18:00
SANTONA;39740;MUELLE PESQUERO, S/N ;-3,46331;43,441959;1,714;;1,714;772;;REPSOL;Suministro a pesqueros;OM;L-D: 24H
SUANCES;39340;MUELLE PESQUERO, S/N ;-4,035255;43,425292;1,714;;1,714;772;;REPSOL;Suministro a pesqueros;OM;L-D: 24H
ALCOSSEBRE;12579;PM PUERTO DEPORTIVO LAS FUENTES DE ALCOCEBRE;0,280667;40,247972;1,795;;1,715;;;NO HAY;Suministro a barcos deportivos o de recreo;dm;L-D: 09:00-13:00 y 16:00-19:00
BURRIANA;12530;MUELLE DE PONIENTE;-0,069139;39,859056;1,78;;1,72;;;MARINA BURRIANANOVA, S.A.;Suministro a barcos deportivos o de recreo;dm;L-D: 24H
CASTELLON DE LA PLANA;12100;MUELLE PESQUERO, S/N ;-0,019836;39,96634;;;;768;;REPSOL;Suministro a pesqueros;OM;L-D: 24H
CASTELLON DE LA PLANA;12100;ESCOLLERA DE PONIENTE, S/N;0,020639;39,968583;1,887;;1,763;;;REAL CLUB NAUTICO DE CASTELLON;Suministro a barcos deportivos o de recreo;dm;L-D: 24H
OROPESA;12594;PARTIDA DENOMINADA PUERTO DEPORTIVO;0,146806;40,081306;1,876;;1,807;;;CLUB NAUTICO DE OROPESA;Suministro a barcos deportivos o de recreo;dm;L-D: 24H
PENISCOLA;12598;EXPLANADA  DEL PUERTO S/N;0,406167;40,356417;;;;763;;NO HAY;Suministro a pesqueros;dm;L-V: 09:00-13:00 y 15:00-19:00
CAMARINAS;15123;MUELLE PESQUERO, S/N ;-9,182914;43,128027;;;;841;801;REPSOL;Suministro a pesqueros;OM;L-D: 24H
CARINO;15593;MUELLE PESQUERO, S/N ;-7,866525;43,737749;;;;826;799;REPSOL;Suministro a pesqueros;OM;L-D: 24H
CORUNA (A);15001;PASEO MARITIMO ALCALDE FCO VAZQUEZ S/N ;-8,383556;43,366889;1,685;;1,702;;;MARINA CORUNA;Suministro a barcos deportivos o de recreo;dm;L-D: 24H
CORUNA (A);15006;DARSENA DE OZA, S/N ;-8,379303;43,348582;;;;766;;REPSOL;Suministro a pesqueros;OM;L-D: 24H
FERROL;15401;MUELLE DE CRUXEIRAS, S/N ;-8,244303;43,478304;1,684;;1,679;841;801;REPSOL;Mixto;OM;L-D: 24H
